0x42C4	func[1305]
0x42EE	func[43533]
0x42EF	func[43448]
0x43AD	func[1607]
0x43B2	func[25728]
0x43B3	func[11691]
0x43B5	func[1725]
0x43B7	func[43493]
0x4534	func[43532]
0x4597	func[6642]
0x4598	func[43468]
0x4599	func[1224]
0x459A	func[1224]
0x459B	func[25588]
0x88FC	func[14763]
0x88FF	func[48173]
0x8900	func[4767]
0x8918	func[23036]
0x8919	func[23047]
0x891A	func[23056]
0xF495	func[25409]
0xF497	func[11698]
0xF498	func[25510]

# inverse for key callees
func[11720]	0x4319
func[9275]	0x4528
func[1124]	0x1730,0x1D32,0x1EEE,0x1F90,0x1F91,0x285C,0x3829,0x382A,0x42BF,0x4316,0x4341,0x45E5,0x5AB7,0x5AB8,0x2A81D,0x2A851,0x2A889,0x2A8C1,0x2A8F8,0x2A964,0x2A99C,0x2A9D4,0x2AA0B,0x2AA42,0x2AA7A,0x2AAB2,0x2AAE8,0x2AB1E,0x2ABBD,0x2ABF4,0x2AC29,0x2AC61,0x2AC99,0x2ACD1,0x2AD05,0x2AD3D,0x2AD75,0x2ADAD,0x2ADE4,0x2AE1C
func[23025]	0x88FE
func[23026]	0x88FD
func[23038]	0x890D
func[23060]	0x2519
func[11118]	0x891B
func[11121]	0x253C
func[11123]	0x896B
