table_slot_hex	table_slot_dec	wasm_func
0x1	1	29136
0x2	2	48173
0x3	3	28433
0x4	4	36572
0x5	5	29615
0x6	6	29612
0x7	7	29613
0x8	8	48384
0x9	9	48384
0xA	10	48384
0xB	11	48384
0xC	12	48220
0xD	13	48384
0xE	14	1226
0xF	15	48183
0x10	16	1006
0x11	17	13167
0x12	18	1019
0x13	19	1019
0x14	20	1596
0x15	21	14421
0x16	22	14421
0x17	23	14421
0x18	24	1359
0x19	25	1359
0x1A	26	1226
0x1B	27	1033
0x1C	28	1033
0x1D	29	1108
0x1E	30	16173
0x1F	31	1006
0x20	32	48173
0x21	33	1359
0x22	34	1596
0x23	35	48220
0x24	36	48384
0x25	37	19737
0x26	38	19735
0x27	39	33036
0x28	40	19734
0x29	41	19736
0x2A	42	13268
0x2B	43	33032
0x2C	44	33034
0x2D	45	33033
0x2E	46	11385
0x2F	47	48220
0x30	48	6816
0x31	49	48384
0x32	50	33035
0x33	51	48173
0x34	52	48173
0x35	53	33031
0x36	54	48173
0x37	55	48220
0x38	56	25
0x39	57	48173
0x3A	58	14
0x3B	59	48384
0x3C	60	1509
0x3D	61	48384
0x3E	62	48220
0x3F	63	48220
0x40	64	48384
0x41	65	5301
0x42	66	48220
0x43	67	48384
0x44	68	5301
0x45	69	48384
0x46	70	48384
0x47	71	48186
0x48	72	48384
0x49	73	28412
0x4A	74	28414
0x4B	75	48384
0x4C	76	1162
0x4D	77	28408
0x4E	78	12337
0x4F	79	28409
0x50	80	28413
0x51	81	48384
0x52	82	48384
0x53	83	29614
0x54	84	48194
0x55	85	1108
0x56	86	48194
0x57	87	48449
0x58	88	4576
0x59	89	48384
0x5A	90	48220
0x5B	91	48384
0x5C	92	48384
0x5D	93	12338
0x5E	94	48186
0x5F	95	17847
0x60	96	48384
0x61	97	17467
0x62	98	48192
0x63	99	48192
0x64	100	48173
0x65	101	48384
0x66	102	48384
0x67	103	1108
0x68	104	29024
0x69	105	29020
0x6A	106	29022
0x6B	107	29023
0x6C	108	48186
0x6D	109	48173
0x6E	110	29021
0x6F	111	48384
0x70	112	48384
0x71	113	48384
0x72	114	5303
0x73	115	48220
0x74	116	3903
0x75	117	29041
0x76	118	29040
0x77	119	1596
0x78	120	48241
0x79	121	48220
0x7A	122	12527
0x7B	123	48384
0x7C	124	48384
0x7D	125	48384
0x7E	126	48384
0x7F	127	1334
0x80	128	48186
0x81	129	1215
0x82	130	48384
0x83	131	5336
0x84	132	3346
0x85	133	48165
0x86	134	48173
0x87	135	48449
0x88	136	28411
0x89	137	48173
0x8A	138	48165
0x8B	139	48384
0x8C	140	48384
0x8D	141	1108
0x8E	142	48173
0x8F	143	48186
0x90	144	48556
0x91	145	48220
0x92	146	48186
0x93	147	48384
0x94	148	48384
0x95	149	48183
0x96	150	2612
0x97	151	48449
0x98	152	48192
0x99	153	1108
0x9A	154	48384
0x9B	155	40789
0x9C	156	48449
0x9D	157	48183
0x9E	158	48183
0x9F	159	48384
0xA0	160	48384
0xA1	161	48173
0xA2	162	1359
0xA3	163	48165
0xA4	164	1359
0xA5	165	1359
0xA6	166	1359
0xA7	167	1596
0xA8	168	1359
0xA9	169	1359
0xAA	170	894
0xAB	171	12502
0xAC	172	48384
0xAD	173	29044
0xAE	174	12524
0xAF	175	29019
0xB0	176	12528
0xB1	177	17852
0xB2	178	48220
0xB3	179	48384
0xB4	180	1509
0xB5	181	48384
0xB6	182	48220
0xB7	183	1596
0xB8	184	9693
0xB9	185	9713
0xBA	186	28996
0xBB	187	12570
0xBC	188	17914
0xBD	189	29105
0xBE	190	48384
0xBF	191	48384
0xC0	192	1006
0xC1	193	1358
0xC2	194	1033
0xC3	195	29059
0xC4	196	29058
0xC5	197	29057
0xC6	198	1509
0xC7	199	48384
0xC8	200	48220
0xC9	201	48173
0xCA	202	1108
0xCB	203	48384
0xCC	204	48186
0xCD	205	1358
0xCE	206	1033
