table_id_hex	table_id_dec	archive_value	primary_wasm_func	dump_line	namespace	declaring_type_context	signature
0x5A4	1444	267	1320	291386	System	GC	public static void SuppressFinalize(object obj) { }
0x5AE	1454	267	1129	774896	UnityEngine	Debug	public static void LogWarning(object message) { }
0xBE4	3044	3619	48194	337119	System.Globalization	CultureInfo	public void .ctor(string name) { }
0xBEB	3051	5258	38139	326441	System.Reflection	MethodBase	public object Invoke(object obj, object[] parameters) { }
0xC2B	3115	8637	48186	711986	System.ComponentModel	ReflectPropertyDescriptor	private MethodInfo get_GetMethodValue() { }
0xC2C	3116	8806	48183	704336	System	SecurityUtils	internal static object MethodInfoInvoke(MethodInfo method, object target, object[] args) { }
0xC2D	3117	53903	48186	712001	System.ComponentModel	ReflectPropertyDescriptor	private MethodInfo get_SetMethodValue() { }
0xC34	3124	14270	2076	339387	System.Collections	ArrayList	public void .ctor(int capacity) { }
0xC35	3125	90003	48186	709956	System.ComponentModel	AttributeCollection	public IEnumerator GetEnumerator() { }
0xC36	3126	6363	48186	712165	System.ComponentModel	ReflectTypeDescriptionProvider	private static Type GetTypeFromName(string typeName) { }
0xC3A	3130	99948	1418	326562	System.Reflection	MethodInfo	public static bool op_Inequality(MethodInfo left, MethodInfo right) { }
0xC3B	3131	99950	48186	326418	System.Reflection	MethodBase	public bool get_IsStatic() { }
0xC3C	3132	18727	48186	326424	System.Reflection	MethodBase	public bool get_IsPublic() { }
0xC3D	3133	132887	48077	711968	System.ComponentModel	ReflectPropertyDescriptor	public void .ctor(Type componentClass, string name, Type type, Attribute[] attributes) { }
0xC46	3142	92320	48186	326828	System.Reflection	PropertyInfo	public MethodInfo GetGetMethod() { }
0xC47	3143	90009	48186	326834	System.Reflection	PropertyInfo	public MethodInfo GetSetMethod() { }
0xDE9	3561	267	1072	288872	System	Array	public static void Clear(Array array, int index, int length) { }
0xDEB	3563	130723	48186	1059687	Mono.Security.Protocol.Ntlm	ChallengeResponse	public byte[] get_LM() { }
0xDF5	3573	127714	48220	308339	System.Security.Cryptography	RSA	public static RSA Create() { }
0xDF6	3574	5731	48173	307554	System.Security.Cryptography	CspParameters	public void .ctor() { }
0xDF7	3575	35023	48194	307551	System.Security.Cryptography	CspParameters	public void set_Flags(CspProviderFlags value) { }
0xDF8	3576	209	48194	308384	System.Security.Cryptography	RSACryptoServiceProvider	public void .ctor(CspParameters parameters) { }
0xDFA	3578	2067	1298	290619	System	Buffer	public static void BlockCopy(Array src, int srcOffset, Array dst, int dstOffset, int count) { }
0xDFC	3580	267	2248	290444	System	Activator	public static object CreateInstance(Type type) { }
0xE07	3591	1351	48186	1061176	Mono.Security.Authenticode	AuthenticodeDeformatter	private bool CheckSignature() { }
0xE0A	3594	58832	48186	1059131		X509CertificateCollection.X509CertificateEnumerator	public bool MoveNext() { }
0xE0C	3596	91742	1089	180183	System	String	public static bool op_Inequality(string a, string b) { }
0xE0D	3597	58755	48556	308420	System.Security.Cryptography	RSACryptoServiceProvider	public bool VerifyHash(byte[] rgbHash, string str, byte[] rgbSignature) { }
0xE0E	3598	58761	48194	1059197	Mono.Security.X509	X509Chain	public void LoadCertificates(X509CertificateCollection collection) { }
0xE11	3601	95351	48194	1061063	Mono.Security.Cryptography	RSAManaged	public void .ctor(int keySize) { }
0xE1F	3615	1118	48165	1059097	Mono.Security.X509	X509Certificate	private static byte[] PEM(string type, byte[] data) { }
0xE20	3616	124	48194	1058371	Mono.Security	ASN1	public void .ctor(byte[] data) { }
0xE22	3618	5873	2883	252627	System	Array	public object Clone() { }
0xE24	3620	27555	48183	1058410	Mono.Security	ASN1	public ASN1 Element(int index, byte anTag) { }
0xE25	3621	24725	48186	1058862	Mono.Security.X509	X501	public static string ToString(ASN1 seq) { }
0xE26	3622	1711	48216	1058437	Mono.Security	ASN1Convert	public static DateTime ToDateTime(ASN1 time) { }
0xE27	3623	27498	48186	1058434	Mono.Security	ASN1Convert	public static string ToOid(ASN1 asn1) { }
0xE28	3624	610	48194	1059302	Mono.Security.X509	X509ExtensionCollection	public void .ctor(ASN1 asn1) { }
0xE2A	3626	92690	1020	180180	System	String	public static bool op_Equality(string a, string b) { }
0xE2B	3627	95361	48186	1060936		PKCS8.PrivateKeyInfo	public static RSA DecodeRSA(byte[] keypair) { }
0xE2C	3628	92691	48200	1058796	Mono.Security.X509	PKCS12	private DSAParameters GetExistingParameters(out bool found) { }
